p_s_per_km,X_degree,T_second,T_reduced_second,turn_depth_km,phase_name,branch_name
0.0017,175.68992695209,1210.90055806812,-545.998711452782,6242.654456537,PKIKP,turn below 670 km
0.0022555,162.632135403795,1208.13827525882,-418.18307877913,6201.18834321993,PKIKP,turn below 670 km
0.002811,181.633182355633,1213.82611237257,-602.505711183767,6168.99815709785,PKIKP,turn below 670 km
0.0033665,169.695032955539,1209.76913090124,-487.181198654152,6124.59101791225,PKIKP,turn below 670 km
0.003922,167.497223575921,1208.92519527548,-466.047040483733,6086.87405230021,PKIKP,turn below 670 km
0.0044775,171.899102950199,1210.83247896492,-508.158550537072,6047.69581675279,PKIKP,turn below 670 km
0.005033,166.999844436736,1208.26049174743,-461.737952619928,6007.05364254007,PKIKP,turn below 670 km
0.0055885,172.149838427598,1211.4329113373,-510.065472938683,5970.78653039877,PKIKP,turn below 670 km
0.006144,166.836724471778,1207.97626944679,-460.390975270987,5928.64496741338,PKIKP,turn below 670 km
0.0066995,164.947487978708,1206.64117777114,-442.833702015939,5890.11645132207,PKIKP,turn below 670 km
0.007255,166.586961350717,1207.84995546194,-458.019658045234,5851.07650924998,PKIKP,turn below 670 km
0.0078105,163.359592999504,1205.14994199277,-428.44598800227,5810.76282746331,PKIKP,turn below 670 km
0.008366,163.846717466215,1205.61815855622,-432.849016105927,5773.28059877475,PKIKP,turn below 670 km
0.0089215,161.950391197066,1203.74774833752,-415.756163633133,5732.44929947297,PKIKP,turn below 670 km
0.009477,160.067094939491,1201.82552464323,-398.845424751689,5693.68903085467,PKIKP,turn below 670 km
0.0100325,160.576162851175,1202.35226047685,-403.409368034907,5655.19251969635,PKIKP,turn below 670 km
0.010588,158.061900706812,1199.46958469596,-381.149422372157,5615.59570726918,PKIKP,turn below 670 km
0.0111435,157.47895703191,1198.77530859326,-376.01426172584,5578.07635301071,PKIKP,turn below 670 km
0.011699,156.489752356436,1197.46834597121,-367.429177593147,5538.3871992744,PKIKP,turn below 670 km
0.0122545,154.469629755004,1194.7766153593,-349.919682190741,5499.57436394462,PKIKP,turn below 670 km
0.01281,154.326815987335,1194.57464077672,-348.693519096629,5461.62030433645,PKIKP,turn below 670 km
0.0133655,151.791350799085,1190.88066853955,-327.032839451297,5422.3065050389,PKIKP,turn below 670 km
0.013921,150.154372494117,1188.3970334686,-313.146691472571,5384.63041850168,PKIKP,turn below 670 km
0.0144765,148.954884796202,1186.46986708379,-303.078980878235,5346.33347085868,PKIKP,turn below 670 km
